step,ort_ref_loss,gvsoc_loss,abs_diff
0,1.610116,1.610118,2e-06
1,0.712654,0.712654,0.0
2,0.017767,0.017767,0.0
3,1.925678,1.925676,2e-06
4,1.089297,1.089297,0.0
5,0.007412,0.007412,0.0
6,0.001933,0.001933,0.0
7,0.26379,0.26379,0.0
8,0.011365,0.011365,0.0
9,2.502228,2.502226,2e-06
10,0.461111,0.461111,0.0
11,0.027922,0.027922,0.0
12,0.18181,0.18181,0.0
13,0.062348,0.062348,0.0
14,0.000106,0.000106,0.0
15,0.017229,0.017229,0.0
16,0.000356,0.000356,0.0
17,0.017443,0.017443,0.0
18,0.005401,0.005401,0.0
19,1.669711,1.669712,1e-06
20,0.046766,0.046766,0.0
21,0.807803,0.807803,0.0
22,0.005763,0.005764,1e-06
23,0.174666,0.174666,0.0
24,0.906101,0.906102,1e-06
25,0.117776,0.117775,1e-06
26,0.063715,0.063715,0.0
27,0.664737,0.664737,0.0
28,0.558646,0.558646,0.0
29,0.00032,0.00032,0.0
30,1.955981,1.955984,3e-06
31,0.425005,0.425004,1e-06
32,0.072689,0.072689,0.0
33,0.184047,0.184047,0.0
34,0.05884,0.058839,1e-06
35,0.064996,0.064996,0.0
36,0.030222,0.030222,0.0
37,0.00824,0.00824,0.0
38,0.160269,0.160269,0.0
39,0.027458,0.027458,0.0
40,0.603697,0.603698,1e-06
41,0.112597,0.112597,0.0
42,0.629442,0.629441,1e-06
43,0.015285,0.015285,0.0
44,2.551146,2.551145,1e-06
45,2.896583,2.896581,2e-06
46,1.08944,1.089439,1e-06
47,0.286515,0.286515,0.0
48,0.046454,0.046454,0.0
49,0.226601,0.226601,0.0
50,0.008999,0.008999,0.0
51,0.000265,0.000265,0.0
52,0.308355,0.308355,0.0
53,1.084532,1.084532,0.0
54,1.406036,1.406038,2e-06
55,0.811063,0.811063,0.0
56,0.016826,0.016826,0.0
57,1.778554,1.778553,1e-06
58,0.738948,0.738947,1e-06
59,0.007746,0.007745,1e-06
60,0.001327,0.001327,0.0
61,0.253294,0.253295,1e-06
62,0.010516,0.010516,0.0
63,2.086951,2.08695,1e-06
64,0.413516,0.413516,0.0
65,0.026796,0.026796,0.0
66,0.163798,0.163797,1e-06
67,0.0599,0.0599,0.0
68,9.5e-05,9.5e-05,0.0
69,0.010222,0.010222,0.0
70,0.000505,0.000504,1e-06
71,0.016575,0.016575,0.0
72,0.005911,0.00591,1e-06
73,1.189369,1.189371,2e-06
74,0.042107,0.042107,0.0
75,0.930634,0.930634,0.0
76,0.007091,0.007091,0.0
77,0.175827,0.175827,0.0
78,0.70346,0.70346,0.0
79,0.118483,0.118483,0.0
80,0.060794,0.060795,1e-06
81,0.624393,0.624393,0.0
82,0.511463,0.511463,0.0
83,0.000414,0.000414,0.0
84,1.65426,1.654262,2e-06
85,0.38518,0.38518,0.0
86,0.072485,0.072484,1e-06
87,0.187418,0.187419,1e-06
88,0.079536,0.079535,1e-06
89,0.068998,0.068998,0.0
90,0.04355,0.04355,0.0
91,0.006892,0.006892,0.0
92,0.168007,0.168007,0.0
93,0.026448,0.026448,0.0
94,0.433527,0.433528,1e-06
95,0.113013,0.113013,0.0
96,0.557776,0.557775,1e-06
97,0.014636,0.014636,0.0
98,2.347666,2.347666,0.0
99,2.429668,2.429666,2e-06
100,1.014324,1.014324,0.0
101,0.274169,0.274168,1e-06
102,0.054371,0.054371,0.0
103,0.21839,0.21839,0.0
104,0.010913,0.010913,0.0
105,0.000258,0.000257,1e-06
106,0.327073,0.327072,1e-06
107,1.01417,1.014171,1e-06
108,1.367282,1.367283,1e-06
109,0.872262,0.872262,0.0
110,0.015998,0.015998,0.0
111,1.806888,1.806886,2e-06
112,0.544962,0.544962,0.0
113,0.008394,0.008393,1e-06
114,0.000965,0.000966,1e-06
115,0.240087,0.240088,1e-06
116,0.009809,0.009809,0.0
117,1.749219,1.749218,1e-06
118,0.394415,0.394415,0.0
119,0.027624,0.027625,1e-06
120,0.148756,0.148756,0.0
121,0.058632,0.058632,0.0
122,9.4e-05,9.3e-05,1e-06
123,0.006549,0.006549,0.0
124,0.000661,0.000661,0.0
125,0.016112,0.016112,0.0
126,0.006413,0.006413,0.0
127,0.849399,0.849399,0.0
128,0.039588,0.039588,0.0
129,1.019992,1.019992,0.0
130,0.009666,0.009666,0.0
131,0.179937,0.179937,0.0
132,0.589419,0.589419,0.0
133,0.117501,0.117501,0.0
134,0.060504,0.060504,0.0
135,0.544818,0.544818,0.0
136,0.409927,0.409927,0.0
137,0.000492,0.000492,0.0
138,1.542494,1.542496,2e-06
139,0.358042,0.358042,0.0
140,0.070898,0.070898,0.0
141,0.188953,0.188953,0.0
142,0.095801,0.095801,0.0
143,0.076416,0.076416,0.0
144,0.053798,0.053798,0.0
145,0.006275,0.006276,1e-06
146,0.173752,0.173752,0.0
147,0.02601,0.02601,0.0
148,0.323866,0.323867,1e-06
149,0.114168,0.114168,0.0
150,0.506568,0.506568,0.0
151,0.014262,0.014262,0.0
152,2.22422,2.22422,0.0
153,2.077384,2.077382,2e-06
154,0.874375,0.874375,0.0
155,0.269784,0.269784,0.0
156,0.062643,0.062643,0.0
157,0.189081,0.18908,1e-06
158,0.012561,0.012561,0.0
159,0.000259,0.000258,1e-06
160,0.342406,0.342406,0.0
161,0.992817,0.992818,1e-06
162,1.233341,1.233342,1e-06
163,0.912795,0.912795,0.0
164,0.015904,0.015904,0.0
165,1.716941,1.716939,2e-06
166,0.438779,0.438778,1e-06
167,0.008542,0.008542,0.0
168,0.000741,0.000741,0.0
169,0.232216,0.232217,1e-06
170,0.009652,0.009652,0.0
171,1.48951,1.489509,1e-06
172,0.389718,0.389718,0.0
173,0.029118,0.029119,1e-06
174,0.137823,0.137823,0.0
175,0.058302,0.058302,0.0
176,9e-05,9.1e-05,1e-06
177,0.004513,0.004513,0.0
178,0.000812,0.000812,0.0
