step,ort_ref_loss,gvsoc_loss,abs_diff
0,1.813889,1.813889,0.0
1,0.168876,0.168877,1e-06
2,0.016662,0.016662,0.0
3,0.076025,0.076025,0.0
4,0.428944,0.428944,0.0
5,0.116029,0.116029,0.0
6,0.004551,0.004551,0.0
7,0.08628,0.08628,0.0
8,0.056319,0.056319,0.0
9,0.002175,0.002174,1e-06
10,0.001941,0.001941,0.0
11,0.025686,0.025685,1e-06
12,0.058293,0.058293,0.0
13,0.213414,0.213414,0.0
14,0.017857,0.017858,1e-06
15,0.152092,0.152092,0.0
16,0.100552,0.100552,0.0
17,0.018832,0.018832,0.0
18,0.03448,0.034481,1e-06
19,0.06789,0.06789,0.0
20,0.016099,0.016099,0.0
21,0.075119,0.075119,0.0
22,1.855386,1.855385,1e-06
23,0.456033,0.456033,0.0
24,1.659506,1.659507,1e-06
25,0.171556,0.171556,0.0
26,0.029993,0.029993,0.0
27,0.493641,0.493642,1e-06
28,0.095768,0.095767,1e-06
29,0.001159,0.001159,0.0
30,0.768657,0.768658,1e-06
31,0.469634,0.469634,0.0
32,0.00329,0.00329,0.0
33,1.088029,1.088028,1e-06
34,0.895356,0.895356,0.0
35,0.059564,0.059565,1e-06
36,0.246635,0.246635,0.0
37,0.017035,0.017035,0.0
38,1.08944,1.08944,0.0
39,0.017701,0.017701,0.0
40,0.012656,0.012656,0.0
41,0.352073,0.352072,1e-06
42,0.28398,0.28398,0.0
43,0.017405,0.017406,1e-06
44,0.386031,0.386031,0.0
45,0.115619,0.115619,0.0
46,2.734751,2.734751,0.0
47,0.140556,0.140556,0.0
48,0.459189,0.459189,0.0
49,0.377841,0.377841,0.0
50,0.148308,0.148308,0.0
51,0.004184,0.004184,0.0
52,0.076715,0.076715,0.0
53,0.117066,0.117066,0.0
54,1.781696,1.781695,1e-06
55,0.124327,0.124328,1e-06
56,0.016661,0.016661,0.0
57,0.072775,0.072775,0.0
58,0.391747,0.391747,0.0
59,0.101522,0.101522,0.0
60,0.006297,0.006298,1e-06
61,0.11161,0.11161,0.0
62,0.059165,0.059165,0.0
63,0.002488,0.002488,0.0
64,0.002714,0.002714,0.0
65,0.040459,0.040459,0.0
66,0.041949,0.041949,0.0
67,0.224541,0.224541,0.0
68,0.017053,0.017053,0.0
69,0.214435,0.214435,0.0
70,0.133877,0.133878,1e-06
71,0.018839,0.018839,0.0
72,0.029309,0.029309,0.0
73,0.092568,0.092568,0.0
74,0.016133,0.016133,0.0
75,0.047755,0.047755,0.0
76,1.596071,1.596071,0.0
77,0.369805,0.369805,0.0
78,1.411495,1.411496,1e-06
79,0.141808,0.141808,0.0
80,0.030961,0.030961,0.0
81,0.415917,0.415917,0.0
82,0.076842,0.076842,0.0
83,0.001568,0.001568,0.0
84,0.638183,0.638183,0.0
85,0.511448,0.511448,0.0
86,0.00415,0.004149,1e-06
87,0.932767,0.932767,0.0
88,0.785863,0.785864,1e-06
89,0.041592,0.041592,0.0
90,0.212968,0.212968,0.0
91,0.01655,0.01655,0.0
92,0.997407,0.997407,0.0
93,0.017899,0.017899,0.0
94,0.014816,0.014816,0.0
95,0.402148,0.402148,0.0
96,0.269495,0.269495,0.0
97,0.01762,0.01762,0.0
98,0.365231,0.365232,1e-06
99,0.146915,0.146916,1e-06
100,2.654097,2.654097,0.0
101,0.137569,0.137569,0.0
102,0.366294,0.366294,0.0
103,0.401202,0.401202,0.0
104,0.211987,0.211987,0.0
105,0.004276,0.004276,0.0
106,0.065526,0.065526,0.0
107,0.104351,0.104351,0.0
108,1.786089,1.786089,0.0
109,0.103623,0.103623,0.0
110,0.016927,0.016927,0.0
111,0.091003,0.091003,0.0
112,0.380138,0.380138,0.0
113,0.092091,0.092091,0.0
114,0.007656,0.007656,0.0
115,0.11336,0.113359,1e-06
116,0.060521,0.060521,0.0
117,0.002764,0.002763,1e-06
118,0.00331,0.00331,0.0
119,0.053232,0.053232,0.0
120,0.035783,0.035783,0.0
121,0.230456,0.230457,1e-06
122,0.018961,0.018961,0.0
123,0.255626,0.255626,0.0
124,0.159888,0.159888,0.0
125,0.01911,0.01911,0.0
126,0.025867,0.025867,0.0
127,0.110981,0.110981,0.0
128,0.016347,0.016347,0.0
129,0.035595,0.035595,0.0
130,1.44408,1.44408,0.0
131,0.333905,0.333905,0.0
132,1.252763,1.252764,1e-06
133,0.144615,0.144615,0.0
134,0.03128,0.03128,0.0
135,0.381804,0.381804,0.0
136,0.058516,0.058516,0.0
137,0.001875,0.001875,0.0
138,0.584772,0.584773,1e-06
139,0.534752,0.534752,0.0
140,0.004719,0.004719,0.0
141,0.849757,0.849757,0.0
142,0.718138,0.718138,0.0
143,0.041226,0.041226,0.0
144,0.167751,0.167752,1e-06
145,0.017499,0.017498,1e-06
146,0.928032,0.928032,0.0
147,0.018227,0.018227,0.0
148,0.016444,0.016444,0.0
149,0.437988,0.437988,0.0
150,0.247905,0.247905,0.0
151,0.017939,0.017939,0.0
152,0.379077,0.379077,0.0
153,0.173044,0.173044,0.0
154,2.461757,2.461757,0.0
